Ville de Bruxelles - Département / Stad Brussel - Departement;Type de marché (Travaux, fournitures, services - objet du marché - procédure de passation - réf CSC);Type opdracht  (werken, leveringen, diensten - voorwerp van de opdracht - plaatsingsprocedure - ref bestek);Date du marché - Datum van de opdracht;Bénéficiaires (opérateur économique à qui le marché a été attribué) / Begunstigden  (onderneming aan wie de opdracht werd toegewezen);Montant engagé TVAC / vastgelegd bedrag btwi;Column 7;Column 8;Column 9;Column 10;Column 11;Column 12;Column 13;Column 14;Column 15;Column 16;Column 17;Column 18;Column 19;Column 20;Column 21;Column 22;Column 23;Column 24;Column 25;Column 26;Column 27;Column 28;Column 29;Column 30;Column 31;Column 32;Column 33;Column 34;Column 35;Column 36;Column 37;Column 38;Column 39;Column 40;Column 41;Column 42;Column 43;Column 44;Column 45;Column 46;Column 47;Column 48;Column 49;Column 50;Column 51;Column 52;Column 53;Column 54;Column 55;Column 56;Column 57;Column 58;Column 59;Column 60;Column 61;Column 62;Column 63;Column 64;Column 65;Column 66;Column 67;Column 68;Column 69;Column 70;Column 71;Column 72;Column 73;Column 74;Column 75;Column 76;Column 77;Column 78;Column 79;Column 80
Régie foncière / Grondregie;"Marché public de travaux ayant pour but le ""Remplacement des châssis rue de la Samaritaine 32 à 1000 Bruxelles"" - Conclu par procédure négociée sans publication préalable en application de l'article 42 § 1, 2° de la loi du 17 juin 2016  - Bon de commande DOS/21/10076/13 - E.G. 2103081";"Overheidsopdrachten voor  werken met als doel ""het vervangen van raamkozijnen, Samaritanessestraat 32 te 1000 Brussel - aanbesteed via een onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42 § 1, 2° van de wet van 17 juni 2016 - Bestelbon DOS/21/10076/13 - E.G. 2103081";2021-01-04;CHASSIS DIFFUSION sprl;30.033,62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Régie foncière / Grondregie;"Marché public de travaux ayant pour but ""Rénovation complète de l'appartement 1.1.2 sis rue de la Flèche 5 à 1000 Bruxelles, conclu par procédure négociée sans publication préalable  (PNSPP) en application de l'article 92 de la Loi du 17/06/2016 - Bon commande Bon de commande DOS/21/10182/14 - E.G. 2104274";"Overheidsopdracht voor werken met als doel "" Volledige renovatie van het appartement 1.1.2 gelegen Pijlstraat 5 te 1000 Brussel, aanbesteed via een onderhandelingsprocedure zonder voorafgaandelije bekendmaking  overeenkomstig artikel 92 van de wet van 17/06/2016 - Bestelbon DOS/21/10182/14 - E.G. 2104274";2021-04-22;CONSTRUCT TOP                                   Rue Auguste Van Zande 81                 1080 BRUXELLES;14.783,82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Régie foncière / Grondregie;Marché public de services ayant pour but « Diagnostic technique du Cirque Royal sis rue de l'Enseignement 81 à 1000 Bruxelles» conclu par procédure négociée sans pubication préalable (PNSPP) en application de l'article 92 de la Loi du 17/06/2016  -  Bon de commande DIV/21/10029/03;"Overheidsopdracht voor diensten met als doel ""Technische diagnose van het Koninklijk Circus gelegen Onderrichtsstraat 81 te 1000 Brussel"" aanbsteed via onderhandelingsprocedure zonder voorafgaandelije bekendmaking in toepassing van artikel 92 van de wet van 17/06/2016 - Bestelbon DIV/21/10029/03";2021-12-03;A.T. OSBORNE;19.602,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Régie foncière / Grondregie;"Marché public de services  ayant pour but  "" Contrat Steward -  gestion du flux des visiteurs à l'agence de location"" conclu par procédure négocié sans publication préalable en application de la loi du 15 juin 2006 - article 24 et l'article 37 -Bon de commande DIV/21/10160/04";"Overheidsopdracht voor diensten met als doel ""Stewardcontract - beheer van de bezoekersstromen in het verhuurkantoor"", aanbesteed via onderhandelingsprocedure zonder voorafgaandelijk publicatie in toepassing van de wet van 15 juni 2006 - artikelen 24 en 37 - Bestelbon DIV/21/10160/04";2021-02-06;ESG SECURITY                                      Avenue de Vallon  83                            1380 Lasne;6.339,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Régie foncière / Grondregie;"Marché public de services ayant pour but la ""Des travaux de traduction"", conclu par procédure négociée sans publication préalable en application de l'article 42, §1, 2° de la loi du 17/06/2016 (cahier des charges RF/17/PNSPP/788 - Répétition) - Bon de commande DIV/21/10370/14";"Overheidsopdracht voor diensten met als doel ""Vertalingswerken"", aanbesteed via onderhandelingsprocedure zonder voorafgaande bekendmaking, overeenkomstig artikel 42, §1, 2 van de Wet van 17/06/2016 (lastenboek RF/17/PNSPP/788 - herhaling) - Bestelbon DIV/21/10370/14";2021-10-21;BD&D TRANSLATIONS sprl                   Rue du Vieux Moulin 66                              1160 BRUXELLES;8.167,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Régie foncière / Grondregie;"Marché public de travaux ayant pour but ""Abattage et démontage d'arbres morts, Donderberg à 1120 Bruxelles (2 interventions) "", conclu par procédure de faible montant (PNSPP) en application de l'article 92 de la Loi du 17/06/2016";"Overheidsopdracht voor werken met als doel ""Uitvoering snoeien en kappen van bomen, domein Donderberg te 1120 Brussel ( 2 interventies)"", aanbesteed via een procedure met lage bedragen (OOZVP) overeenkomstig artikel 92 van de wet van 17/06/2016";2021-05-10;ECHO-TREE                                                Rue du Feu 10                                                1190 Forest;1.330,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Régie foncière / Grondregie;"Marché public de services  ayant pour but ""Gestion des abonnements et des services pour les terminaux électriques du parking rue d'Anderlecht 73 à 1000 Bruxelles», conclu par procédure négociée sans publication préalable (PNSPP) en application de l'article 92 de la Loi du 17/06/2016. Bon de commande 21/10251/29";"Overheidsopdracht voor diensten met als doel ""Beheer van abonnementen en diensten voor de elektrische laadpalen van de parking Anderlechtsesteenweg 73 te 1000 Brussel"", aanbesteed door een onderhandelingsprocedure zonder voorafgaandelijke bekendmaking  overeenkomstig artikel 92 van de wet van 17/06/2016. Bestelbon 21/10251/29";2021-07-27;"MOBILITYPLUS
Langevelddreef 23
9840 DE PINTE";591,89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Régie foncière / Grondregie;"Marché public de service ayant pour but ""Recherche de la cause du probème d'humidité rue de l'Epargne 10/1 à 1000 Bruxelles», conclu par procédure de faible montant (PNSPP) en application de l'article 92 de la Loi du 17/06/2016. Bon de commande 21/10372/24";"Overheidsopdracht voor diensten met als doel ""Opsporing van de oorzaak van het vochtprobleem Spaarstraat 10/1 te 1000 Brussel"", aanbesteed via een procedure met lage bedragen (OOZVP) overeenkomstig artikel 92 van de wet van 17/06/2016. Bestelbon 21/10372/24";2021-07-10;ND DETECT                                       Bruyère du Culot 4                               1495 VILLERS-LA-VILLE;270,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Régie foncière / Grondregie;"Marché public de travaux  ayant pour but "" Mise en conformité électrique des communs dans divers bâtiments de la Régie foncière (7 interventions)"", conclu par procédure négociée sans publication préalable (PNSPP) en application de l'article 92 de la Loi du 17/06/2016 - Bon de commande 20/9804/28";"Overheidsopdracht voor werken met als doel ""Electrische keuring van de gemeenschappelijke gedeelten in verschillende gebouwen van de Grondregie (7 interventies)"", aanbesteed via een onderhandelingsprocedure zonder voorafgaande bekendmaking,  overeenkomstig artikel 92 van de wet van 17/06/2016 - Bestelbon 20/9804/28";2021-11-08;RAYONS                                                     Rue Mommaerts 39                              1080 Bruxelles;24.334,30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Culture, Jeunesse, Loisirs, Sports / Cultuur, Jeugd, Ontspanning, Sport;Marché public de fournitures à bordereau de prix et en 3 lots ayant pour but la fourniture, pendant 36 mois, de trophées et médailles pour divers départements - LOT 1 - conclu en procédure négociée sans publication préalable, référence du cahier des charges : CDA/11780;Overheidsopdracht voor leveringen tegen prijslijst en in 3 percelen met het doel de levering, gedurende 36 maanden, van trofeeën en medailles voor verschillende departementen - LOT 1 - gesloten via de onderhandelingsprocedure zonder voorafgaande bekendmaking, referentie van het bestek: CDA/11780;2021-12-16;TOULET VAN BAEL SA;27.000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Culture, Jeunesse, Loisirs, Sports / Cultuur, Jeugd, Ontspanning, Sport;Marché public de fournitures reconductible et à bordereau de prix ayant pour but la fourniture, pendant 12 mois, de matériel sportif, conclu en procédure négociée sans publication préalable, référence du cahier des charges : CDA/011359;Verlengbare overheidsopdracht voor leveringen tegen prijslijst met het doel de levering, gedurende 12 maanden, van sportmateriaalgesloten via de onderhandelingsprocedure zonder voorafgaande bekendmaking, referentie van het bestek : CDA/011359;2021-09-30;IDEMASPORT SA;82.112,99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Culture, Jeunesse, Loisirs, Sports / Cultuur, Jeugd, Ontspanning, Sport;Marché public ayant pour but la fourniture d'un comptoir réfrigéré et un lave-verres/tasses professionnel, conclu selon la procédure pour marchés de faible montant, référence du cahier des charges : CDA/012139/NBZ;Overheidsopdracht met als doel de levering van gekoelde toonbank en professionele glazen-/kopjeswasmachine, gesloten volgens de procedure van de opdracht met geringe waarde, referentie van het bestek: CDA/012139/NBZ;2021-12-16;ICEPROD JM SPRL;3.046,10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Culture, Jeunesse, Loisirs, Sports / Cultuur, Jeugd, Ontspanning, Sport;Marché public ayant pour but la fourniture de démarreurs autonomes, conclu selon la procédure pour marchés de faible montant, référence du cahier des charges : CDA/012163;Overheidsopdracht met het doel de levering van autonome starters, gesloten volgens de procedure van de opdracht met geringe waarde, referentie van het bestek: CDA/012163;2021-10-29;"NOUVEAU COMPTOIR INDUSTRIEL
PRODUITS ACHEVEMENT
CONSTRUCTION SA";1.371,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Culture, Jeunesse, Loisirs, Sports / Cultuur, Jeugd, Ontspanning, Sport;"CDA/011836/AMT.- Marché public de services ayant pour but le nettoyage et l'entretien des
locaux et surfaces de la Centrale for contemporary art.";CDA/011836/AMT.-Overheidsopdracht voor dienstverlening voor het schoonmaken en onderhouden van de lokalen en oppervlakken van de Centrale voor hedendaagse kunst.;;BSC Cleaning;12.251,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Affaires économiques / Economische zaken;Cellule Animations Commerciale : Travaux : Mise en œuvre dalle en béton fritkot rue de Laeken en rapport avec le projet fritkot;Cel Commerciële Animatie : Werken : Plaatsing van een plaat van gewapend beton frietkot Lakensestraat  in verband met het frietkot-project;2021-06-21;VIABUILD;22.076,35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Affaires économiques / Economische zaken;Cellule Animations Commerciale : Services : Assurance TRC et contrôle fritkot n°3 & 4 engagement fait sur demande de la cellule patrimoine public en rapport avec le projet fritkot;"Cel Commerciële Animatie : Diensten : 
TRC verzekering en controle frietkot n°3 & 4 vastlegging aangegaan op verzoek van de eenheid openbaar erfgoed in verband met het Frietkot-project";2021-12-16;ETHIAS;610,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Affaires économiques / Economische zaken;Cellule Animations Commerciale : Services : Accès à la téléphonie fritkot n°3 & 4 engagement fait sur demande de la cellule patrimoine public en rapport avec le projet fritkot;"Cel Commerciële Animatie : Diensten : 
Toegang tot telefonie frietkot n°3 & 4 vastlegging aangegaan op verzoek van de eenheid openbaar erfgoed in verband met het Frietkot-project";2021-12-16;PROXIMUS;30.610,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Affaires économiques / Economische zaken;Cellule Animations Commerciale : Travaux : Installation cabine haute tension Place Poelaert pour la grande roue;"Cel Commerciële Animatie : Werken : 
Plaatsing van een hoogspanningskast op het Poelaertplein voor het reuzenrad";2021-09-21;ELECTRO 80;67.827,22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Affaires économiques / Economische zaken;Cellule Animations Commerciale : Fournitures : Fourniture d'eau - procédure négociée en spécialité;"Cel Commerciële Animatie : Leveringen : 
Levering van water - onderhandelingsprocedure in specialiteit";;Vivaqua;6.000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Affaires économiques / Economische zaken;"Cellule Animations Commerciale : Fournitures :
Fourniture d'électricité - procédure négociée en spécialité";"Cel Commerciële Animatie : Leveringen : 
Levering van elektriciteit onderhandelingsprocedure in specialiteit";;Sibelga;6.000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Affaires économiques / Economische zaken;"Cellule Animations Commerciale : Services :
commande chèques ALE - convention VBX et agence locale pour l'emploi";"Cel Commerciële Animatie : Diensten : 
Bestelling PWA cheques - conventie VBX en plaatselijk werkgelegenheidsagentschap";2021-10-06;Agence locale pour l'emploi / Plaatselijk Werkgelegenheidsagentschap;2.859,02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Affaires économiques / Economische zaken;"Cellule Animations Commerciale : Fournitures :
Marché public CDA/011828/JCV Bâches pour la foire du Midi";Cel Commerciële Animatie : Leveringen : Overheidsopdracht CDA/011828/JCV Dekzeilen voor Zuidfoor;2021-03-23;S.A MAGRAF N.V.;4.299,13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Affaires économiques / Economische zaken;"Cellule Animations Commerciale : Fournitures :
dépense Rock the city: passe-câbles pour Foire du Midi (perte après prêt de passe-cables";"Cel Commerciële Animatie : Leveringen :
Uitgaven Rock The City : dichtingringen voor de Zuidkermis (verlies na lening van dichtingringen)";2021-08-24;Rock The city;978,47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Affaires économiques / Economische zaken;"Cellule Marchés : Travaux :  
Installation d'un sanitaire mobile sur le marché de la Chaussée d'Anvers  pendant au moins 22 semaines  où les mesures régionales de fermetures des restaurants, cafés et bars  restent";"Cel Markten : Werken :
Installatie van een mobiel sanitair op de markt Antwerpsesteenweg gedurende minstens 22 weken waar de gewestelijke maatregelen voor de sluiting van restaurants, cafés en bars blijven.";2021-01-04;WCLOC;1.512,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Affaires économiques / Economische zaken;Cellule Marchés : Services :                                Location de rallonges et de passes câble pour le marché Square Marguerite;"Cel Markten : Diensten :
Huur van verlengkabels en dichtingsringen voor de markt Margaretasquare.";2021-04-22;Rock The City;3.910,52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Affaires économiques / Economische zaken;"Cellule Marchés :  Services:  
Animation d'un groupe de musique sur le marché du Square Marguerite et sur le marché du samedi de la Place Sainte Catherine.";"Cel Markten : Diensten  :
Animatie van een muzikale groep op de markt Margaretasquare en op de zaterdagmarkt op het Sint Katelijneplein.";2021-04-29;Chouette asbl;880,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Affaires économiques / Economische zaken;"Cellule Marchés : Services :  
Distribution de sacs réutilisables pour le printemps des marchés mai 2021";"Cel Markten : Diensten :
Uitverdeling van herbruikbare zakken voor de lentemarkten van mei 2021.";2021-10-06;BEFRE SPRL,;493,68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Affaires économiques / Economische zaken;"Cellule Marchés : Services :  
 Animation sur le zéro déchet sur le marché du samedi  24 avril de la Place Sainte Catherine";"Cel Markten : Diensten :
Animatie Zero waste op de zaterdagmarkt van 24 april op het Sint-Katelijneplein.";2021-09-16;Nataroma : Jennifer Pitaels;220,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Affaires économiques / Economische zaken;Cellule Marchés : Travaux :                           Réparation et le remplacement de la porte du  boîtier électrique du marché de la Place Anneessens.;"Cel Markten : Werken :
Herstelling en vervanging van de deur van de elektrische doos van de markt Anneessensplein.";2021-12-23;Sibelga;326,70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Affaires économiques / Economische zaken;"Cellule Horeca : 
Marché public de services ayant pour but la confection d'autocollants pour la cellule Horeca, par le cahier spécial des charges CDA/011135 en procédure négociée sans publication préalable (Bon de commande CDA/062147/B)";"Cel Horeca : 
Overheidsopdracht van diensten met als doel de productie van stickers voor de horecacel, door middel van het lastenboek CDA/011135 in onderhandelingsprocedure zonder voorafgaande bekendmaking (Belstelbon CDA/062147/B)";2021-06-21;OTM;787,71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Affaires économiques / Economische zaken;"Cellule Emploi : Services :
Cap vers l'Emploi - impression affiches et flyers - Accepté par simple facture";"Cel Tewerkstelling : Diensten : 
Op weg naar werk - Afdrukken affiches en flyers - Aanvaarding op eenvoudige factuur";2021-09-12;Impresor Ariane;1.594,78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Affaires économiques / Economische zaken;"Cellule Emploi : Services :
Cap vers l'Emploi - Video - Accepté par simple facture";"Cel Tewerkstelling : Diensten : 
Op weg naar werk - Video - Aanvaarding op eenvoudige factuur";2021-09-12;Ergonomic;4.779,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Affaires économiques / Economische zaken;"Cellule Emploi : Fourniture : 
Cap vers l'Emploi - catering - Accepté par simple facture";"Cel Tewerkstelling : Levering : 
Op weg naar werk - catering-  Aanvaarding op eenvoudige factuur";2021-09-12;ASBL Prosport Bruxelles (Traiteur du Château);1.975,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine public / Openbaar patrimonium;Marché public de services ayant pour but : entretien - ascenseur conclu par facture acceptée en application de l'article 92 de la loi du 17/06/2016 (cahier des charges n°2020/4227);Overheidsopdracht van diensten met als doel : onderhoud - liften gesloten door aanvaarde factuur in toepassing van artikel 92 van de wet van 17/06/2016 (bestek nr.2020/4227);2021-07-01;CROMBEZ & BAEYENS;1.000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine public / Openbaar patrimonium;Marché public de fournitures de matériel de plomberie conclu par facture acceptée en application de l'article 92 de la loi du 17/06/2016 (cahier des charges n°2020/3815);Overheidsopdracht voor de levering van materiaal van loodgieterij gesloten door aanvaarde factuur in toepassing van artikel 92 van de wet van 17/06/2016 (bestek nr.2020/3815);2021-07-01;CLABOTS;53,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine public / Openbaar patrimonium;Marché public de travaux ayant pour but : dépannage - HVAC conclu par facture acceptée en application de l'article 92 de la loi du 17/06/2016 (cahier des charges n°2020/4221);Overheidsopdracht van werken met als doel : depannage - HVAC gesloten door aanvaarde factuur in toepassing van artikel 92 van de wet van 17/06/2016 (bestek nr.2020/4221);2021-07-01;IMTECH;6.360,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine public / Openbaar patrimonium;Marché public de travaux ayant pour but : dépannage - électricité conclu par facture acceptée en application de l'article 92 de la loi du 17/06/2016 (cahier des charges n°2020/4229);Overheidsopdracht van werken met als doel : depannage - elektriciteit gesloten door aanvaarde factuur in toepassing van artikel 92 van de wet van 17/06/2016 (bestek nr.2020/4229);2021-07-01;PUTMAN  S.A.;800,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine public / Openbaar patrimonium;Marché public de travaux ayant pour but : dépannage - électricité conclu par facture acceptée en application de l'article 92 de la loi du 17/06/2016 (cahier des charges n°2020/4216);Overheidsopdracht van werken met als doel : depannage - elektriciteit gesloten door aanvaarde factuur in toepassing van artikel 92 van de wet van 17/06/2016 (bestek nr.2020/4216);2021-07-01;PUTMAN  S.A.;2.000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
